iter	Passed	Remaining
0	59	59721
1	62	31299
2	64	21594
3	67	16730
4	69	13847
5	71	11906
6	74	10513
7	76	9451
8	78	8620
9	80	7959
10	82	7435
11	84	6990
12	87	6611
13	89	6285
14	91	6006
15	94	5787
16	96	5562
17	98	5364
18	100	5185
19	102	5029
20	104	4884
21	106	4756
22	109	4637
23	111	4527
24	113	4431
25	115	4335
26	117	4247
27	120	4170
28	122	4094
29	124	4025
30	126	3961
31	128	3897
32	131	3846
33	133	3794
34	135	3746
35	138	3698
36	140	3652
37	142	3607
38	144	3569
39	147	3528
40	149	3490
41	151	3455
42	153	3418
43	155	3382
44	157	3348
45	160	3324
46	162	3295
47	164	3267
48	166	3238
49	168	3210
50	171	3184
51	173	3158
52	175	3136
53	177	3112
54	179	3090
55	182	3069
56	184	3048
57	186	3032
58	188	3011
59	191	2994
60	193	2974
61	195	2956
62	197	2937
63	199	2919
64	201	2901
65	203	2885
66	206	2872
67	208	2855
68	210	2842
69	212	2826
70	214	2812
71	217	2798
72	219	2785
73	221	2774
74	223	2760
75	226	2748
76	228	2737
77	230	2725
78	232	2713
79	234	2702
80	237	2689
81	239	2677
82	241	2666
83	243	2656
84	245	2648
85	248	2637
86	250	2627
87	252	2616
88	254	2606
89	256	2595
90	259	2587
91	261	2578
92	263	2570
93	265	2561
94	267	2552
95	270	2543
96	272	2534
97	274	2527
98	276	2519
99	278	2510
100	281	2502
101	283	2493
102	285	2485
103	287	2477
104	289	2469
105	291	2462
106	294	2455
107	296	2448
108	298	2441
109	301	2435
110	303	2428
111	305	2420
112	307	2414
113	309	2407
114	312	2401
115	314	2393
116	316	2386
117	319	2384
118	321	2377
119	323	2370
120	325	2363
121	327	2358
122	329	2352
123	332	2345
124	334	2339
125	336	2332
126	338	2326
127	340	2321
128	343	2315
129	345	2310
130	347	2305
131	349	2299
132	352	2294
133	354	2289
134	356	2283
135	358	2278
136	360	2272
137	363	2269
138	365	2263
139	367	2257
140	369	2252
141	372	2247
142	374	2241
143	376	2237
144	378	2232
145	381	2229
146	383	2224
147	385	2218
148	387	2214
149	389	2209
150	392	2204
151	394	2198
152	396	2193
153	398	2188
154	400	2184
155	403	2180
156	405	2175
157	407	2170
158	409	2165
159	411	2160
160	413	2155
161	415	2151
162	418	2147
163	420	2142
164	422	2137
165	424	2132
166	426	2128
167	428	2124
168	431	2119
169	433	2115
170	435	2111
171	437	2106
172	439	2101
173	441	2097
174	444	2093
175	446	2088
176	448	2084
177	450	2079
178	452	2075
179	454	2071
180	456	2066
181	458	2062
182	461	2059
183	463	2056
184	465	2052
185	468	2048
186	470	2044
187	472	2040
188	474	2036
189	476	2032
190	479	2029
191	481	2025
192	483	2021
193	485	2017
194	487	2014
195	490	2010
196	492	2006
197	494	2002
198	496	1998
199	498	1994
200	500	1990
201	502	1986
202	505	1983
203	507	1979
204	509	1975
205	511	1972
206	513	1968
207	516	1965
208	518	1961
209	520	1959
210	522	1955
211	525	1951
212	527	1947
213	529	1943
214	531	1940
215	533	1936
216	535	1933
217	537	1929
218	540	1926
219	542	1923
220	544	1919
221	546	1916
222	549	1913
223	551	1909
224	553	1905
225	555	1902
226	557	1898
227	559	1895
228	561	1891
229	563	1887
230	566	1884
231	568	1881
232	570	1878
233	572	1874
234	575	1871
235	577	1868
236	579	1866
237	581	1863
238	584	1860
239	586	1856
240	588	1853
241	590	1850
242	593	1847
243	595	1844
244	597	1841
245	599	1838
246	601	1834
